"Zeitstempel","Datenschutzerklärung","ID","Geschlecht","Alter","Wer war Zeus' Vater?","In welchem antiken Werk wird vom Trojanischen Pferd berichtet? ","Über welchen Fluss mussten die Toten kommen um zum Hades zu gelangen?","Wie kam Sokrates zu Tode?","Wer gilt als Begründer der attischen Demokratie?","Welche antike Philosophenschule wurde in einem Garten gegründet?"
"2020/02/04 4:36:11 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","002","Männlich","18 - 24","Kronos","Troja","","","",""
"2020/02/04 5:05:27 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","079","Männlich","25 - 30","Kronos","Homers ""Odyssee""","Styx","Schierlingsbecher","",""
"2020/02/04 5:05:51 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","017","Männlich","25 - 30","Prometus","","","Gift","",""
"2020/02/04 5:11:03 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","033","Weiblich","31 - 40","","Illias","","","",""
"2020/02/04 5:27:51 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","69","Männlich","18 - 24","","","","","",""
"2020/02/04 5:41:10 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","031","Männlich","18 - 24","Uranos","Ilias","Styx","Vergiftung","Athen","1337"
"2020/02/04 5:41:20 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","048","Männlich","18 - 24","","","","","",""
"2020/02/05 4:05:22 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","011","Männlich","31 - 40","Kreon","Odise","","Gift trinken, selbsmord","Prikles? Plato? ",""
"2020/02/28 4:02:52 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","65","Weiblich","18 - 24","/","/","/","/","/","/"
"2020/03/02 11:30:29 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","98","Männlich","60+","Kronos","Aeneis","Styx","Hinrichtung durch Gifteinnahme","Solon","Akademie"
"2020/03/03 3:02:59 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","037","Weiblich","25 - 30","Kronos","Ilias","Styx","Selbstmord Gift","Perikles","Epikurismus"
"2020/03/03 3:03:39 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","078","Männlich","18 - 24","Chronos","","","Verurteilung zum Tode ","Perikles","Epikur"
"2020/03/03 3:04:34 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","018","Weiblich","25 - 30","Chronos","Ilias","Styx","Selbstmord mit Gift ","Solon","Epikur"
"2020/03/04 11:32:48 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","13","Männlich","18 - 24","Kronos","","Styx","""Aderlass""","Perikles","Peripatos"
"2020/03/04 11:35:36 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","45","Männlich","18 - 24","Kronos","Ilias","Styx","Schierlingsbecher","Kleisthenes","Kepos/Epikureismus"
"2020/03/04 11:42:30 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","20","Männlich","18 - 24","Kronos","Odysee","Styx","Schirlingsbecher (zum Sssssselbstmord durch Gift gezwungen)","Solon","Epikureismus"
"2020/03/04 11:44:45 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","89","Weiblich","18 - 24","Saturn","Aeneis","Stxy","Schirlingsbecher","Perikles","Epikureismus"
"2020/03/04 11:45:22 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","82","Weiblich","18 - 24","Saturn","Aeneis","Styx","Schirlingsbecher","Perikles","Epikureismus"
"2020/03/04 11:46:31 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","53","Weiblich","51 - 60","Kronos","Vergil, Aeneis","Styx","Schirlingsbecher","[Findent die Frage kann nicht eindeutig beantwortet werde - Tim]","Epikur"
"2020/03/04 12:27:55 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","12","Weiblich","18 - 24","","","","","",""
"2020/03/04 4:47:21 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","16","Weiblich","60+","","Pliade & Odysee","","Selbstmord mit Messer","",""
"2020/03/04 7:21:52 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","95","Weiblich","18 - 24","","","","","",""
"2020/03/04 7:23:03 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","44","Weiblich","18 - 24","Kronos","Odysseus","Styx","","",""
"2020/03/04 7:23:41 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","72","Divers","25 - 30","Odysois","","","","",""
"2020/03/13 12:35:49 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","96","Weiblich","18 - 24","Khronos","Odysee","Styx","Selbstmord","/","Kepos"
"2020/03/13 12:44:14 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","3","Weiblich","18 - 24","Kronos","Iliaolz","Styks","/","/","/"
"2020/03/13 12:53:00 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","59","Weiblich","60+","","Illias","","Giftbecher","",""
"2020/03/13 1:03:56 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","51","Männlich","25 - 30","","Edda","Styx","Von (römischen?) Soldaten getötet.","",""
"2020/03/13 1:15:40 AM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","38","Männlich","60+","Kronos","Ilias","Styx","Gift","Perikles","Stoa"
"2020/03/16 3:25:31 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","61","Männlich","18 - 24","","","Niel","zu viel getrunken","",""
"2020/03/16 3:34:24 PM MEZ","Ich stimme zu, dass die von mir hier angegeben Daten zu rein wissenschaftlichen Zwecken verwendet werden dürfen. Die Daten werden anonym gehandhabt und nicht an Dritte weitergegeben.","92","Weiblich","25 - 30","","","Nil","","",""